"cb_flag","dec","decstr","discoverymethod","elat","elon","glat","glon","hd_name","hip_name","hostname","pl_bmasse","pl_bmassj","pl_bmassprov","pl_cmasse","pl_cmassj","pl_dens","pl_eqt","pl_imppar","pl_insol","pl_letter","pl_masse","pl_massj","pl_msinie","pl_msinij","pl_name","pl_occdep","pl_orbeccen","pl_orbincl","pl_orblper","pl_orbper","pl_orbsmax","pl_orbtper","pl_projobliq","pl_rade","pl_radj","pl_ratdor","pl_ratror","pl_rvamp","pl_trandep","pl_trandur","pl_tranmid","pl_trueobliq","pl_tsystemref","ra","rastr","soltype","st_age","st_dens","st_logg","st_lum","st_mass","st_met","st_metratio","st_rad","st_radv","st_rotp","st_spectype","st_teff","st_vsin","sy_dist","sy_plx","sy_pm","sy_pmdec","sy_pmra","sy_pnum","sy_snum","ttv_flag","pl_eqt_normalized","pl_insol_normalized","pl_orbsmax_normalized","id","phi_estimated"
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",17.2,0.054,"Mass",NA,NA,7.1,584,0.36,NA,"c",17.2,0.054,NA,NA,"Kepler-10 c",NA,0,89.59,NA,45.294301,NA,NA,NA,2.35,0.21,47.9,0.02019,3.26,NA,6.898,2455062.26648,NA,"BJD-TDB",285.679298,"19h02m43.03s","Published Confirmed",10.6,1.068,4.34,NA,0.91,-0.15,"[Fe/H]",1.06,-98.74,NA,NA,5708,2.04,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,1,NA,NA,31,0.759202385887876
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c",NA,NA,NA,NA,"Kepler-10 c",NA,NA,NA,NA,45.2941835,NA,NA,NA,NA,NA,NA,NA,NA,0.0477,6.9236,2454971.6801,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,NA,32,0.758884173047913
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",13.98,0.04399,"Mass",NA,NA,5.94,NA,NA,NA,"c",13.98,0.04399,NA,NA,"Kepler-10 c",NA,0,NA,NA,45.294301,0.241,NA,NA,2.35,0.21,NA,NA,2.67,NA,NA,2455062.26648,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",10.6,NA,4.34,0.002,0.91,-0.15,"[Fe/H]",1.06,NA,NA,NA,5708,2.04,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,0.201052631578947,33,0.759202385887876
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c",NA,NA,NA,NA,"Kepler-10 c",NA,NA,NA,NA,45.29430079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2455062.26651,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,NA,34,0.758884173047913
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,18.3,"c",NA,NA,NA,NA,"Kepler-10 c",NA,NA,NA,NA,NA,NA,NA,NA,2.351,0.21,NA,NA,NA,NA,NA,NA,NA,NA,285.679298,"19h02m43.03s","Published Confirmed",NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,5599,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,1,NA,35,0.758884173047913
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",20,0.063,"Mass",NA,NA,10,485,0.299,NA,"c",20,0.063,NA,NA,"Kepler-10 c",NA,0,89.65,NA,45.29485,0.2407,NA,NA,2.227,0.199,49.1,0.01938,NA,0.0344,6.863,2454971.6761,NA,"HJD",285.679298,"19h02m43.03s","Published Confirmed",11.9,NA,4.34,0.002,0.9,-0.15,"[Fe/H]",1.06,NA,NA,NA,5627,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,1,NA,0.200736842105263,36,0.759202385887876
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,0.3182,NA,"c",NA,NA,NA,NA,"Kepler-10 c",NA,NA,NA,NA,45.294314,NA,NA,NA,NA,NA,NA,0.02041,NA,NA,NA,2455741.68114,NA,"BJD",285.679298,"19h02m43.03s","Published Confirmed",NA,1.1079,4.37,0.055,1.02,-0.12,"[M/H]",1.09,NA,NA,NA,5706,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,NA,37,0.758884173047913
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c",NA,NA,NA,NA,"Kepler-10 c",NA,NA,NA,NA,45.29431717,NA,NA,NA,2.32,0.207,NA,0.01978,NA,NA,6.8714,2454971.67748,NA,"JD",285.679298,"19h02m43.03s","Published Confirmed",9.12,NA,4.35,NA,0.92,-0.14,"[Fe/H]",1.06,NA,NA,NA,5705,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,NA,NA,NA,38,0.759202385887876
0,50.2414842,"+50d14m29.34s","Transit",71.85007,303.69711,18.81626,80.48988,NA,NA,"Kepler-10",11.4,0.03587,"Mass",NA,NA,4.78,578,NA,18.68,"c",11.4,0.03587,NA,NA,"Kepler-10 c",NA,0.13,89.623,NA,45.294301,0.241,NA,NA,2.355,0.21,NA,NA,2.19,NA,NA,2455062.26648,NA,"BJD-TDB",285.679298,"19h02m43.03s","Published Confirmed",10.6,NA,NA,NA,0.91,-0.15,"[Fe/H]",1.06,NA,NA,NA,5708,NA,185.506,5.36185,45.3461486,41.4481,-18.3937,3,1,1,1,1,0.201052631578947,39,0.759202385887876
0,43.3205085,"+43d19m13.83s","Transit",65.12757,299.01332,15.91092,73.8928,NA,NA,"Kepler-1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,NA,NA,"Kepler-1005 b",NA,NA,NA,NA,6.49801525,NA,NA,NA,1.5,0.134,NA,0.01271,NA,NA,2.3167,2454969.00125,NA,"JD",286.2858998,"19h05m08.62s","Published Confirmed",6.17,NA,4.38,NA,1,0.02,"[Fe/H]",1.06,NA,NA,NA,5782,NA,567.806,1.7323,17.5000576,9.61307,-14.6233,1,1,0,NA,NA,NA,40,0.716600742653646
